medal,name,nationality,location,year,gender,prueba,mark,mark_x,mark_xx,mark_unidades
B,Samson KITUR,KEN,Barcelona,1992,M,400M,44.24,00:00:44.24,44.24,segundos
G,Alonzo BABERS,USA,Los Angeles,1984,M,400M,44.27,00:00:44.27,44.27,segundos
S,Gabriel TIACOH,CIV,Los Angeles,1984,M,400M,44.54,00:00:44.54,44.54,segundos
B,Antonio MCKAY,USA,Los Angeles,1984,M,400M,44.71,00:00:44.71,44.71,segundos
G,Alberto JUANTORENA,CUB,Montreal,1976,M,400M,44.26,00:00:44.26,44.26,segundos
S,Frederick Vaughn NEWHOUSE,USA,Montreal,1976,M,400M,44.4,00:00:44.40,44.4,segundos
B,Herman Ronald FRAZIER,USA,Montreal,1976,M,400M,44.95,00:00:44.95,44.95,segundos
G,Lee EVANS,USA,Mexico,1968,M,400M,43.8,00:00:43.80,43.8,segundos
S,Larry JAMES,USA,Mexico,1968,M,400M,43.9,00:00:43.90,43.9,segundos
B,Ron FREEMAN,USA,Mexico,1968,M,400M,44.4,00:00:44.40,44.4,segundos
G,Otis DAVIS,USA,Rome,1960,M,400M,44.9,00:00:44.90,44.9,segundos
S,Carl KAUFMANN,EUA,Rome,1960,M,400M,44.9,00:00:44.90,44.9,segundos
B,Malcolm SPENCE,RSA,Rome,1960,M,400M,45.5,00:00:45.50,45.5,segundos
G,George RHODEN,JAM,Helsinki,1952,M,400M,45.9,00:00:45.90,45.9,segundos
S,Herbert MCKENLEY,JAM,Helsinki,1952,M,400M,45.9,00:00:45.90,45.9,segundos
B,Ollie MATSON,USA,Helsinki,1952,M,400M,46.8,00:00:46.80,46.8,segundos
G,Archibald Franklin WILLIAMS,USA,Berlin,1936,M,400M,46.5,00:00:46.50,46.5,segundos
S,Godfrey BROWN,GBR,Berlin,1936,M,400M,46.7,00:00:46.70,46.7,segundos
B,James Ellis LU VALLE,USA,Berlin,1936,M,400M,46.8,00:00:46.80,46.8,segundos
G,Raymond James BARBUTI,USA,Amsterdam,1928,M,400M,47.8,00:00:47.80,47.8,segundos
S,James BALL,CAN,Amsterdam,1928,M,400M,48,00:00:48.00,48,segundos
B,Joachim BÃCHNER,GER,Amsterdam,1928,M,400M,48.2,00:00:48.20,48.2,segundos
G,Bevil RUDD,RSA,Antwerp,1920,M,400M,0:49.6,00:49.6,,segundos
S,Guy BUTLER,GBR,Antwerp,1920,M,400M,0:49.9,00:49.9,,segundos
B,Nils ENGDAHL,SWE,Antwerp,1920,M,400M,0:50.0,00:50.0,,segundos
G,Wyndham HALSWELLE,GBR,London,1908,M,400M,50,00:00:50.00,50,segundos
G,Maxwell Warburn LONG,USA,Paris,1900,M,400M,49.4,00:00:49.40,49.4,segundos
S,William HOLLAND,USA,Paris,1900,M,400M,49.6,00:00:49.60,49.6,segundos
B,Ernst SCHULTZ,DEN,Paris,1900,M,400M,,,,segundos
G,Kirani JAMES,GRN,London,2012,M,400M,43.94,00:00:43.94,43.94,segundos
S,Luguelin SANTOS,DOM,London,2012,M,400M,44.46,00:00:44.46,44.46,segundos
B,Lalonde GORDON,TTO,London,2012,M,400M,44.52,00:00:44.52,44.52,segundos
G,Jeremy WARINER,USA,Athens,2004,M,400M,44,00:00:44.00,44,segundos
S,Otis HARRIS,USA,Athens,2004,M,400M,44.16,00:00:44.16,44.16,segundos
B,Derrick BREW,USA,Athens,2004,M,400M,44.42,00:00:44.42,44.42,segundos
G,Michael JOHNSON,USA,Atlanta,1996,M,400M,43.49,00:00:43.49,43.49,segundos
S,Roger BLACK,GBR,Atlanta,1996,M,400M,44.41,00:00:44.41,44.41,segundos
B,Davis KAMOGA,UGA,Atlanta,1996,M,400M,44.53,00:00:44.53,44.53,segundos
G,Viktor MARKIN,URS,Moscow,1980,M,400M,44.6,00:00:44.60,44.6,segundos
S,Rick MITCHELL,AUS,Moscow,1980,M,400M,44.84,00:00:44.84,44.84,segundos
B,Frank SCHAFFER,GDR,Moscow,1980,M,400M,44.87,00:00:44.87,44.87,segundos
G,Vince MATTHEWS,USA,Munich,1972,M,400M,44.66,00:00:44.66,44.66,segundos
S,Wayne COLLETT,USA,Munich,1972,M,400M,44.8,00:00:44.80,44.8,segundos
B,Julius SANG,KEN,Munich,1972,M,400M,44.92,00:00:44.92,44.92,segundos
G,Mike LARRABEE,USA,Tokyo,1964,M,400M,45.1,00:00:45.10,45.1,segundos
S,Wendell MOTTLEY,TTO,Tokyo,1964,M,400M,45.2,00:00:45.20,45.2,segundos
B,Andrzej BADENSKI,POL,Tokyo,1964,M,400M,45.6,00:00:45.60,45.6,segundos
G,Charles JENKINS,USA,Melbourne / Stockholm,1956,M,400M,46.7,00:00:46.70,46.7,segundos
S,Karl-Friedrich HAAS,EUA,Melbourne / Stockholm,1956,M,400M,46.8,00:00:46.80,46.8,segundos
B,Voitto HELLSTEN,FIN,Melbourne / Stockholm,1956,M,400M,47,00:00:47.00,47,segundos
B,Ardalion IGNATYEV,URS,Melbourne / Stockholm,1956,M,400M,47,00:00:47.00,47,segundos
G,Arthur WINT,JAM,London,1948,M,400M,46.2,00:00:46.20,46.2,segundos
S,Herbert MCKENLEY,JAM,London,1948,M,400M,46.4,00:00:46.40,46.4,segundos
B,Mal WHITFIELD,USA,London,1948,M,400M,46.9,00:00:46.90,46.9,segundos
G,William Arthur CARR,USA,Los Angeles,1932,M,400M,46.2,00:00:46.20,46.2,segundos
S,Benjamin Bangs EASTMAN,USA,Los Angeles,1932,M,400M,46.4,00:00:46.40,46.4,segundos
B,Alex WILSON,CAN,Los Angeles,1932,M,400M,47.4,00:00:47.40,47.4,segundos
G,Eric LIDDELL,GBR,Paris,1924,M,400M,47.6,00:00:47.60,47.6,segundos
S,Horatio FITCH,USA,Paris,1924,M,400M,48.4,00:00:48.40,48.4,segundos
B,Guy BUTLER,GBR,Paris,1924,M,400M,48.6,00:00:48.60,48.6,segundos
G,Charles REIDPATH,USA,Stockholm,1912,M,400M,0:48.2,00:48.2,,segundos
S,Hanns BRAUN,GER,Stockholm,1912,M,400M,0:48.3,00:48.3,,segundos
B,Edward LINDBERG,USA,Stockholm,1912,M,400M,0:48.4,00:48.4,,segundos
G,Harry HILLMAN,USA,St Louis,1904,M,400M,49.2,00:00:49.20,49.2,segundos
S,Frank WALLER,USA,St Louis,1904,M,400M,49.9,00:00:49.90,49.9,segundos
B,Herman GROMAN,USA,St Louis,1904,M,400M,50,00:00:50.00,50,segundos
G,Thomas BURKE,USA,Athens,1896,M,400M,54.2,00:00:54.20,54.2,segundos
S,Herbert JAMISON,USA,Athens,1896,M,400M,55.2,00:00:55.20,55.2,segundos
B,Charles GMELIN,GBR,Athens,1896,M,400M,55.6,00:00:55.60,55.6,segundos
G,,JAM,Rio,2016,M,4X100M Relay,37.27,00:00:37.27,37.27,segundos
S,,JPN,Rio,2016,M,4X100M Relay,37.6,00:00:37.60,37.6,segundos
B,,CAN,Rio,2016,M,4X100M Relay,37.64,00:00:37.64,37.64,segundos
S,,TTO,Beijing,2008,M,4X100M Relay,38.06,00:00:38.06,38.06,segundos
B,,JPN,Beijing,2008,M,4X100M Relay,38.15,00:00:38.15,38.15,segundos
G,,USA,Sydney,2000,M,4X100M Relay,37.61,00:00:37.61,37.61,segundos
S,,BRA,Sydney,2000,M,4X100M Relay,37.9,00:00:37.90,37.9,segundos
B,,CUB,Sydney,2000,M,4X100M Relay,38.04,00:00:38.04,38.04,segundos
G,,USA,Barcelona,1992,M,4X100M Relay,37.4,00:00:37.40,37.4,segundos
S,,NGR,Barcelona,1992,M,4X100M Relay,37.98,00:00:37.98,37.98,segundos
B,,CUB,Barcelona,1992,M,4X100M Relay,38,00:00:38.00,38,segundos
G,,USA,Los Angeles,1984,M,4X100M Relay,37.83,00:00:37.83,37.83,segundos
S,,JAM,Los Angeles,1984,M,4X100M Relay,38.62,00:00:38.62,38.62,segundos
B,,CAN,Los Angeles,1984,M,4X100M Relay,38.7,00:00:38.70,38.7,segundos
G,,USA,Montreal,1976,M,4X100M Relay,38.33,00:00:38.33,38.33,segundos
S,,GDR,Montreal,1976,M,4X100M Relay,38.66,00:00:38.66,38.66,segundos
B,,URS,Montreal,1976,M,4X100M Relay,38.78,00:00:38.78,38.78,segundos
G,,USA,Mexico,1968,M,4X100M Relay,38.2,00:00:38.20,38.2,segundos
S,,CUB,Mexico,1968,M,4X100M Relay,38.3,00:00:38.30,38.3,segundos
B,,FRA,Mexico,1968,M,4X100M Relay,38.4,00:00:38.40,38.4,segundos
G,,EUA,Rome,1960,M,4X100M Relay,39.5,00:00:39.50,39.5,segundos
S,,URS,Rome,1960,M,4X100M Relay,40.1,00:00:40.10,40.1,segundos
B,,GBR,Rome,1960,M,4X100M Relay,40.2,00:00:40.20,40.2,segundos
G,,USA,Helsinki,1952,M,4X100M Relay,40.1,00:00:40.10,40.1,segundos
S,,URS,Helsinki,1952,M,4X100M Relay,40.3,00:00:40.30,40.3,segundos
B,,HUN,Helsinki,1952,M,4X100M Relay,40.5,00:00:40.50,40.5,segundos
G,,USA,Berlin,1936,M,4X100M Relay,39.8,00:00:39.80,39.8,segundos
S,,ITA,Berlin,1936,M,4X100M Relay,41.1,00:00:41.10,41.1,segundos
B,,GER,Berlin,1936,M,4X100M Relay,41.2,00:00:41.20,41.2,segundos
G,,USA,Amsterdam,1928,M,4X100M Relay,41,00:00:41.00,41,segundos
S,,GER,Amsterdam,1928,M,4X100M Relay,,,,segundos
B,,GBR,Amsterdam,1928,M,4X100M Relay,,,,segundos
G,,USA,Antwerp,1920,M,4X100M Relay,0:42.2,00:42.2,,segundos
S,,FRA,Antwerp,1920,M,4X100M Relay,0:42.6,00:42.6,,segundos
B,,SWE,Antwerp,1920,M,4X100M Relay,0:42.9,00:42.9,,segundos
G,,JAM,London,2012,M,4X100M Relay,36.84,00:00:36.84,36.84,segundos
S,,TTO,London,2012,M,4X100M Relay,38.12,00:00:38.12,38.12,segundos
B,,FRA,London,2012,M,4X100M Relay,38.16,00:00:38.16,38.16,segundos
G,,GBR,Athens,2004,M,4X100M Relay,38.07,00:00:38.07,38.07,segundos
S,,USA,Athens,2004,M,4X100M Relay,38.08,00:00:38.08,38.08,segundos
B,,NGR,Athens,2004,M,4X100M Relay,38.23,00:00:38.23,38.23,segundos
G,,CAN,Atlanta,1996,M,4X100M Relay,37.69,00:00:37.69,37.69,segundos
S,,USA,Atlanta,1996,M,4X100M Relay,38.05,00:00:38.05,38.05,segundos
B,,BRA,Atlanta,1996,M,4X100M Relay,38.41,00:00:38.41,38.41,segundos
G,,URS,Moscow,1980,M,4X100M Relay,38.26,00:00:38.26,38.26,segundos
S,,POL,Moscow,1980,M,4X100M Relay,38.33,00:00:38.33,38.33,segundos
B,,FRA,Moscow,1980,M,4X100M Relay,38.53,00:00:38.53,38.53,segundos
G,,USA,Munich,1972,M,4X100M Relay,38.19,00:00:38.19,38.19,segundos
S,,URS,Munich,1972,M,4X100M Relay,38.5,00:00:38.50,38.5,segundos
B,,FRG,Munich,1972,M,4X100M Relay,38.79,00:00:38.79,38.79,segundos
G,,USA,Tokyo,1964,M,4X100M Relay,39,00:00:39.00,39,segundos
S,,POL,Tokyo,1964,M,4X100M Relay,39.3,00:00:39.30,39.3,segundos
B,,FRA,Tokyo,1964,M,4X100M Relay,39.3,00:00:39.30,39.3,segundos
G,,USA,Melbourne / Stockholm,1956,M,4X100M Relay,39.5,00:00:39.50,39.5,segundos
S,,URS,Melbourne / Stockholm,1956,M,4X100M Relay,39.8,00:00:39.80,39.8,segundos
B,,EUA,Melbourne / Stockholm,1956,M,4X100M Relay,40.3,00:00:40.30,40.3,segundos
G,,USA,London,1948,M,4X100M Relay,40.6,00:00:40.60,40.6,segundos
S,,GBR,London,1948,M,4X100M Relay,41.3,00:00:41.30,41.3,segundos
B,,ITA,London,1948,M,4X100M Relay,41.5,00:00:41.50,41.5,segundos
G,,USA,Los Angeles,1932,M,4X100M Relay,40,00:00:40.00,40,segundos
S,,GER,Los Angeles,1932,M,4X100M Relay,40.9,00:00:40.90,40.9,segundos
B,,ITA,Los Angeles,1932,M,4X100M Relay,41.2,00:00:41.20,41.2,segundos
G,,USA,Paris,1924,M,4X100M Relay,41,00:00:41.00,41,segundos
S,,GBR,Paris,1924,M,4X100M Relay,41.2,00:00:41.20,41.2,segundos
B,,NED,Paris,1924,M,4X100M Relay,41.8,00:00:41.80,41.8,segundos
G,,GBR,Stockholm,1912,M,4X100M Relay,0:42.4,00:42.4,,segundos
S,,SWE,Stockholm,1912,M,4X100M Relay,0:42.6,00:42.6,,segundos
G,,USA,Rio,2016,M,4X400M Relay,,,,segundos
S,,JAM,Rio,2016,M,4X400M Relay,,,,segundos
B,,BAH,Rio,2016,M,4X400M Relay,,,,segundos
G,,USA,Beijing,2008,M,4X400M Relay,2:55.39,00:02:55.39,175.39,segundos
S,,BAH,Beijing,2008,M,4X400M Relay,2:58.03,00:02:58.03,178.03,segundos
G,,NGR,Sydney,2000,M,4X400M Relay,02:58.68,00:02:58.68,178.68,segundos
S,,JAM,Sydney,2000,M,4X400M Relay,02:58.78,00:02:58.78,178.78,segundos
B,,BAH,Sydney,2000,M,4X400M Relay,02:59.23,00:02:59.23,179.23,segundos
G,,USA,Barcelona,1992,M,4X400M Relay,2:55.74,00:02:55.74,175.74,segundos
S,,CUB,Barcelona,1992,M,4X400M Relay,2:59.51,00:02:59.51,179.51,segundos
B,,GBR,Barcelona,1992,M,4X400M Relay,2:59.73,00:02:59.73,179.73,segundos
G,,USA,Los Angeles,1984,M,4X400M Relay,2:57.91,00:02:57.91,177.91,segundos
S,,GBR,Los Angeles,1984,M,4X400M Relay,2:59.13,00:02:59.13,179.13,segundos
B,,NGR,Los Angeles,1984,M,4X400M Relay,2:59.32,00:02:59.32,179.32,segundos
G,,USA,Montreal,1976,M,4X400M Relay,2:58.65,00:02:58.65,178.65,segundos
S,,POL,Montreal,1976,M,4X400M Relay,3:01.43,00:03:01.43,181.43,segundos
B,,FRG,Montreal,1976,M,4X400M Relay,3:01.98,00:03:01.98,181.98,segundos
G,,USA,Mexico,1968,M,4X400M Relay,2:56.1,02:56.1,,segundos
S,,KEN,Mexico,1968,M,4X400M Relay,2:59.6,02:59.6,,segundos
B,,FRG,Mexico,1968,M,4X400M Relay,3:00.5,03:00.5,,segundos
G,,USA,Rome,1960,M,4X400M Relay,3:02.2,03:02.2,,segundos
S,,EUA,Rome,1960,M,4X400M Relay,3:02.7,03:02.7,,segundos
B,,BWI,Rome,1960,M,4X400M Relay,3:04.0,03:04.0,,segundos
G,,JAM,Helsinki,1952,M,4X400M Relay,3:03.9,03:03.9,,segundos
S,,USA,Helsinki,1952,M,4X400M Relay,3:04.0,03:04.0,,segundos
B,,GER,Helsinki,1952,M,4X400M Relay,3:06.6,03:06.6,,segundos
G,,GBR,Berlin,1936,M,4X400M Relay,3:09.0,03:09.0,,segundos
S,,USA,Berlin,1936,M,4X400M Relay,3:11.0,03:11.0,,segundos
B,,GER,Berlin,1936,M,4X400M Relay,3:11.8,03:11.8,,segundos
G,,USA,Amsterdam,1928,M,4X400M Relay,3:14.2,03:14.2,,segundos
S,,GER,Amsterdam,1928,M,4X400M Relay,,,,segundos
B,,CAN,Amsterdam,1928,M,4X400M Relay,,,,segundos
G,,GBR,Antwerp,1920,M,4X400M Relay,3:22.2,03:22.2,,segundos
S,,RSA,Antwerp,1920,M,4X400M Relay,3:23.0 est,03:23.0 000,,segundos
B,,FRA,Antwerp,1920,M,4X400M Relay,3:23.5 est,03:23.5 000,,segundos
G,,USA,London,1908,M,4X400M Relay,3:29.4,03:29.4,,segundos
S,,GER,London,1908,M,4X400M Relay,,,,segundos
B,,HUN,London,1908,M,4X400M Relay,,,,segundos
G,,BAH,London,2012,M,4X400M Relay,2:56.72,00:02:56.72,176.72,segundos
S,,USA,London,2012,M,4X400M Relay,2:57.05,00:02:57.05,177.05,segundos
B,,TTO,London,2012,M,4X400M Relay,2:59.40,00:02:59.40,179.4,segundos
G,,USA,Athens,2004,M,4X400M Relay,2:55.91,00:02:55.91,175.91,segundos
S,,AUS,Athens,2004,M,4X400M Relay,3:00.60,00:03:00.60,180.6,segundos
B,,NGR,Athens,2004,M,4X400M Relay,3:00.90,00:03:00.90,180.9,segundos
G,,USA,Atlanta,1996,M,4X400M Relay,2:55.99,00:02:55.99,175.99,segundos
S,,GBR,Atlanta,1996,M,4X400M Relay,2:56.60,00:02:56.60,176.6,segundos
B,,JAM,Atlanta,1996,M,4X400M Relay,2:59.42,00:02:59.42,179.42,segundos
G,,URS,Moscow,1980,M,4X400M Relay,3:01.1,03:01.1,,segundos
S,,GDR,Moscow,1980,M,4X400M Relay,3:01.3,03:01.3,,segundos
B,,ITA,Moscow,1980,M,4X400M Relay,3:04.3,03:04.3,,segundos
G,,KEN,Munich,1972,M,4X400M Relay,2:59.8,02:59.8,,segundos
S,,GBR,Munich,1972,M,4X400M Relay,3:00.5,03:00.5,,segundos
B,,FRA,Munich,1972,M,4X400M Relay,3:00.7,03:00.7,,segundos
G,,USA,Tokyo,1964,M,4X400M Relay,3:00.7,03:00.7,,segundos
S,,GBR,Tokyo,1964,M,4X400M Relay,3:01.6,03:01.6,,segundos
B,,TTO,Tokyo,1964,M,4X400M Relay,3:01.7,03:01.7,,segundos
G,,USA,Melbourne / Stockholm,1956,M,4X400M Relay,3:04.8,03:04.8,,segundos
S,,AUS,Melbourne / Stockholm,1956,M,4X400M Relay,3:06.2,03:06.2,,segundos
B,,GBR,Melbourne / Stockholm,1956,M,4X400M Relay,3:07.2,03:07.2,,segundos
G,,USA,London,1948,M,4X400M Relay,3:10.4,03:10.4,,segundos
S,,FRA,London,1948,M,4X400M Relay,3:14.8,03:14.8,,segundos
B,,SWE,London,1948,M,4X400M Relay,3:16.0,03:16.0,,segundos
G,,USA,Los Angeles,1932,M,4X400M Relay,3:08.2,03:08.2,,segundos
S,,GBR,Los Angeles,1932,M,4X400M Relay,3:11.2,03:11.2,,segundos
B,,CAN,Los Angeles,1932,M,4X400M Relay,3:12.8,03:12.8,,segundos
G,,USA,Paris,1924,M,4X400M Relay,3:16.00,00:03:16.00,196,segundos
S,,SWE,Paris,1924,M,4X400M Relay,3:17.00,00:03:17.00,197,segundos
B,,GBR,Paris,1924,M,4X400M Relay,3:17.40,00:03:17.40,197.4,segundos
G,,USA,Stockholm,1912,M,4X400M Relay,3:16.6,03:16.6,,segundos
S,,FRA,Stockholm,1912,M,4X400M Relay,3:20.7,03:20.7,,segundos
B,,GBR,Stockholm,1912,M,4X400M Relay,3:23.2,03:23.2,,segundos
G,Mohamed FARAH,GBR,Rio,2016,M,5000M,13:03.30,00:13:03.30,783.3,segundos
S,Paul Kipkemoi CHELIMO,USA,Rio,2016,M,5000M,13:03.90,00:13:03.90,783.9,segundos
B,Hagos GEBRHIWET,ETH,Rio,2016,M,5000M,13:04.35,00:13:04.35,784.35,segundos
G,Kenenisa BEKELE,ETH,Beijing,2008,M,5000M,12:57.82,00:12:57.82,777.82,segundos
S,Eliud Kipchoge ROTICH,KEN,Beijing,2008,M,5000M,13:02.80,00:13:02.80,782.8,segundos
B,Edwin Cheruiyot SOI,KEN,Beijing,2008,M,5000M,13:06.22,00:13:06.22,786.22,segundos
G,Millon WOLDE,ETH,Sydney,2000,M,5000M,13:35.49,00:13:35.49,815.49,segundos
S,Ali SAIDI-SIEF,ALG,Sydney,2000,M,5000M,13:36.20,00:13:36.20,816.2,segundos
B,Brahim LAHLAFI,MAR,Sydney,2000,M,5000M,13:36.47,00:13:36.47,816.47,segundos
G,Dieter BAUMANN,GER,Barcelona,1992,M,5000M,13:12.52,00:13:12.52,792.52,segundos
S,Paul BITOK,KEN,Barcelona,1992,M,5000M,13:12.71,00:13:12.71,792.71,segundos
B,Fita BAYISSA,ETH,Barcelona,1992,M,5000M,13:13.03,00:13:13.03,793.03,segundos
G,SaÃ¯d AOUITA,MAR,Los Angeles,1984,M,5000M,13:05.59,00:13:05.59,785.59,segundos
S,Markus RYFFEL,SUI,Los Angeles,1984,M,5000M,13:07.54,00:13:07.54,787.54,segundos
B,AntÃ³nio LEITÃO,POR,Los Angeles,1984,M,5000M,13:09.20,00:13:09.20,789.2,segundos
G,Lasse VIREN,FIN,Montreal,1976,M,5000M,13:24.76,00:13:24.76,804.76,segundos
S,Dick Theodorus QUAX,NZL,Montreal,1976,M,5000M,13:25.16,00:13:25.16,805.16,segundos
B,Klaus-Peter HILDENBRAND,FRG,Montreal,1976,M,5000M,13:25.38,00:13:25.38,805.38,segundos
G,Mohamed GAMMOUDI,TUN,Mexico,1968,M,5000M,14:05.0,14:05.0,,segundos
S,Kip KEINO,KEN,Mexico,1968,M,5000M,14:05.2,14:05.2,,segundos
B,Naftali TEMU,KEN,Mexico,1968,M,5000M,14:06.4,14:06.4,,segundos
G,Murray HALBERG,NZL,Rome,1960,M,5000M,13:43.4,13:43.4,,segundos
S,Hans GRODOTZKI,EUA,Rome,1960,M,5000M,13:44.6,13:44.6,,segundos
B,Kazimierz ZIMNY,POL,Rome,1960,M,5000M,13:44.8,13:44.8,,segundos
G,Emil ZÃTOPEK,TCH,Helsinki,1952,M,5000M,14:06.6,14:06.6,,segundos
S,Alain MIMOUN,FRA,Helsinki,1952,M,5000M,14:07.4,14:07.4,,segundos
B,Herbert SCHADE,GER,Helsinki,1952,M,5000M,14:08.6,14:08.6,,segundos
G,Gunnar HÃCKERT,FIN,Berlin,1936,M,5000M,14:22.2,14:22.2,,segundos
S,Lauri LEHTINEN,FIN,Berlin,1936,M,5000M,14:25.8,14:25.8,,segundos
B,Henry JONSSON-KÃLARNE,SWE,Berlin,1936,M,5000M,14:29.0,14:29.0,,segundos
G,Ville RITOLA,FIN,Amsterdam,1928,M,5000M,14:38.0,14:38.0,,segundos
S,Paavo NURMI,FIN,Amsterdam,1928,M,5000M,14:40.0,14:40.0,,segundos
B,Edvin WIDE,SWE,Amsterdam,1928,M,5000M,14:41.2,14:41.2,,segundos
G,Joseph GUILLEMOT,FRA,Antwerp,1920,M,5000M,14:55.6,14:55.6,,segundos
S,Paavo NURMI,FIN,Antwerp,1920,M,5000M,15:00.0,15:00.0,,segundos
B,Eric BACKMAN,SWE,Antwerp,1920,M,5000M,15:13.0,15:13.0,,segundos
G,Mohamed FARAH,GBR,London,2012,M,5000M,13:41.66,00:13:41.66,821.66,segundos
S,Dejen GEBREMESKEL,ETH,London,2012,M,5000M,13:41.98,00:13:41.98,821.98,segundos
B,Thomas Pkemei LONGOSIWA,KEN,London,2012,M,5000M,13:42.36,00:13:42.36,822.36,segundos
G,Hicham EL GUERROUJ,MAR,Athens,2004,M,5000M,13:14.39,00:13:14.39,794.39,segundos
S,Kenenisa BEKELE,ETH,Athens,2004,M,5000M,13:14.59,00:13:14.59,794.59,segundos
B,Eliud Kipchoge ROTICH,KEN,Athens,2004,M,5000M,13:15.10,00:13:15.10,795.1,segundos
G,Venuste NIYONGABO,BDI,Atlanta,1996,M,5000M,13:07.96,00:13:07.96,787.96,segundos
S,Paul BITOK,KEN,Atlanta,1996,M,5000M,13:08.16,00:13:08.16,788.16,segundos
B,Khalid BOULAMI,MAR,Atlanta,1996,M,5000M,13:08.37,00:13:08.37,788.37,segundos
G,Miruts YIFTER,ETH,Moscow,1980,M,5000M,13:21.0,13:21.0,,segundos
S,Suleiman NYAMBUI,TAN,Moscow,1980,M,5000M,13:21.6,13:21.6,,segundos
B,Kaarlo MAANINKA,FIN,Moscow,1980,M,5000M,13:22.0,13:22.0,,segundos
G,Lasse VIREN,FIN,Munich,1972,M,5000M,13:26.42,00:13:26.42,806.42,segundos
S,Mohamed GAMMOUDI,TUN,Munich,1972,M,5000M,13:27.33,00:13:27.33,807.33,segundos
B,Ian STEWART,GBR,Munich,1972,M,5000M,13:27.61,00:13:27.61,807.61,segundos
G,Robert Keyser SCHUL,USA,Tokyo,1964,M,5000M,13:48.8,13:48.8,,segundos
S,Harald NORPOTH,EUA,Tokyo,1964,M,5000M,13:49.6,13:49.6,,segundos
B,Bill DELLINGER,USA,Tokyo,1964,M,5000M,13:49.8,13:49.8,,segundos
G,Vladimir KUTS,URS,Melbourne / Stockholm,1956,M,5000M,13:39.6,13:39.6,,segundos
S,Gordon PIRIE,GBR,Melbourne / Stockholm,1956,M,5000M,13:50.6,13:50.6,,segundos
B,Derek IBBOTSON,GBR,Melbourne / Stockholm,1956,M,5000M,13:54.4,13:54.4,,segundos
G,Gaston REIFF,BEL,London,1948,M,5000M,14:17.6,14:17.6,,segundos
S,Emil ZÃTOPEK,TCH,London,1948,M,5000M,14:17.8,14:17.8,,segundos
B,Willem SLIJKHUIS,NED,London,1948,M,5000M,14:26.8,14:26.8,,segundos
G,Lauri LEHTINEN,FIN,Los Angeles,1932,M,5000M,14:30.0,14:30.0,,segundos
S,Ralph HILL,USA,Los Angeles,1932,M,5000M,14:30.0,14:30.0,,segundos
B,Lauri VIRTANEN,FIN,Los Angeles,1932,M,5000M,14:44.0,14:44.0,,segundos
G,Paavo NURMI,FIN,Paris,1924,M,5000M,14:31.2,14:31.2,,segundos
S,Ville RITOLA,FIN,Paris,1924,M,5000M,14:31.4,14:31.4,,segundos
B,Edvin WIDE,SWE,Paris,1924,M,5000M,15:01.8,15:01.8,,segundos
G,Hannes KOLEHMAINEN,FIN,Stockholm,1912,M,5000M,14:36.6,14:36.6,,segundos
S,Jean BOUIN,FRA,Stockholm,1912,M,5000M,14:36.7,14:36.7,,segundos
B,George HUTSON,GBR,Stockholm,1912,M,5000M,15:07.6,15:07.6,,segundos
G,Matej TOTH,SVK,Rio,2016,M,50Km Race Walk,3:40:58,00:03:40:58,,segundos
S,Jared TALLENT,AUS,Rio,2016,M,50Km Race Walk,3:41:16,00:03:41:16,,segundos
B,Hirooki ARAI,JPN,Rio,2016,M,50Km Race Walk,3:41:24,00:03:41:24,,segundos
G,Alex SCHWAZER,ITA,Beijing,2008,M,50Km Race Walk,3h37:09,03037:09,,segundos
S,Jared TALLENT,AUS,Beijing,2008,M,50Km Race Walk,3h39:27,03039:27,,segundos
B,Denis NIZHEGORODOV,RUS,Beijing,2008,M,50Km Race Walk,3h40:14,03040:14,,segundos
G,Robert KORZENIOWSKI,POL,Sydney,2000,M,50Km Race Walk,03h42:22,003042:22,,segundos
S,Aigars FADEJEVS,LAT,Sydney,2000,M,50Km Race Walk,03h43:40,003043:40,,segundos
B,Joel SANCHEZ GUERRERO,MEX,Sydney,2000,M,50Km Race Walk,03h44:36,003044:36,,segundos
G,Andrey PERLOV,EUN,Barcelona,1992,M,50Km Race Walk,3:50:13,00:03:50:13,,segundos
S,Carlos MERCENARIO,MEX,Barcelona,1992,M,50Km Race Walk,3:52:09,00:03:52:09,,segundos
B,Ronald WEIGEL,GER,Barcelona,1992,M,50Km Race Walk,3:53:45,00:03:53:45,,segundos
G,RaÃºl GONZÃLEZ,MEX,Los Angeles,1984,M,50Km Race Walk,3:47:26,00:03:47:26,,segundos
S,Bo GUSTAFSSON,SWE,Los Angeles,1984,M,50Km Race Walk,3:53:19,00:03:53:19,,segundos
B,Sandro BELLUCCI,ITA,Los Angeles,1984,M,50Km Race Walk,3:53:45,00:03:53:45,,segundos
G,Bernd KANNENBERG,FRG,Munich,1972,M,50Km Race Walk,3:56:11.6,03:56:11.6,,segundos
S,Veniamin SOLDATENKO,URS,Munich,1972,M,50Km Race Walk,3:58:24.0,03:58:24.0,,segundos
B,Larry YOUNG,USA,Munich,1972,M,50Km Race Walk,4:00:46.0,04:00:46.0,,segundos
G,Abdon PAMICH,ITA,Tokyo,1964,M,50Km Race Walk,4:11:12.4,04:11:12.4,,segundos
S,Paul Vincent NIHILL,GBR,Tokyo,1964,M,50Km Race Walk,4:11:31.2,04:11:31.2,,segundos
