medal,name,nationality,location,year,gender,prueba,mark,mark_x,mark_xx,mark_unidades
G,Vladimir KUTS,URS,Melbourne / Stockholm,1956,M,10000M,28:45.6,28:45.6,,segundos
S,JÃ³zsef KOVÃCS,HUN,Melbourne / Stockholm,1956,M,10000M,28:52.4,28:52.4,,segundos
B,Allan LAWRENCE,AUS,Melbourne / Stockholm,1956,M,10000M,28:53.6,28:53.6,,segundos
G,Emil ZÃTOPEK,TCH,London,1948,M,10000M,29:59.6,29:59.6,,segundos
S,Alain MIMOUN,FRA,London,1948,M,10000M,30:47.4,30:47.4,,segundos
B,Bertil ALBERTSSON,SWE,London,1948,M,10000M,30:53.6,30:53.6,,segundos
G,Janusz KUSOCINSKI,POL,Los Angeles,1932,M,10000M,30:11.4,30:11.4,,segundos
S,Volmari ISO-HOLLO,FIN,Los Angeles,1932,M,10000M,30:12.6,30:12.6,,segundos
B,Lauri VIRTANEN,FIN,Los Angeles,1932,M,10000M,30:35.0,30:35.0,,segundos
G,Ville RITOLA,FIN,Paris,1924,M,10000M,30:23.2,30:23.2,,segundos
S,Edvin WIDE,SWE,Paris,1924,M,10000M,30:55.2,30:55.2,,segundos
B,Eero BERG,FIN,Paris,1924,M,10000M,31:43.0,31:43.0,,segundos
G,Hannes KOLEHMAINEN,FIN,Stockholm,1912,M,10000M,31:20.8,31:20.8,,segundos
S,Lewis TEWANIMA,USA,Stockholm,1912,M,10000M,32:06.6,32:06.6,,segundos
B,Albin STENROOS,FIN,Stockholm,1912,M,10000M,32:21.8,32:21.8,,segundos
G,Usain BOLT,JAM,Rio,2016,M,100M,9.81,00:00:09.81,9.81,segundos
S,Justin GATLIN,USA,Rio,2016,M,100M,9.89,00:00:09.89,9.89,segundos
B,Andre DE GRASSE,CAN,Rio,2016,M,100M,9.91,00:00:09.91,9.91,segundos
G,Usain BOLT,JAM,Beijing,2008,M,100M,9.69,00:00:09.69,9.69,segundos
S,Richard THOMPSON,TTO,Beijing,2008,M,100M,9.89,00:00:09.89,9.89,segundos
B,Walter DIX,USA,Beijing,2008,M,100M,9.91,00:00:09.91,9.91,segundos
G,Maurice GREENE,USA,Sydney,2000,M,100M,9.87,00:00:09.87,9.87,segundos
S,Ato BOLDON,TTO,Sydney,2000,M,100M,9.99,00:00:09.99,9.99,segundos
B,Obadele THOMPSON,BAR,Sydney,2000,M,100M,10.04,00:00:10.04,10.04,segundos
G,Linford CHRISTIE,GBR,Barcelona,1992,M,100M,9.96,00:00:09.96,9.96,segundos
S,Frank FREDERICKS,NAM,Barcelona,1992,M,100M,10.02,00:00:10.02,10.02,segundos
B,Dennis MITCHELL,USA,Barcelona,1992,M,100M,10.04,00:00:10.04,10.04,segundos
G,Carl LEWIS,USA,Los Angeles,1984,M,100M,9.99,00:00:09.99,9.99,segundos
S,Sam GRADDY,USA,Los Angeles,1984,M,100M,10.19,00:00:10.19,10.19,segundos
B,Ben JOHNSON,CAN,Los Angeles,1984,M,100M,10.22,00:00:10.22,10.22,segundos
G,Hasely CRAWFORD,TTO,Montreal,1976,M,100M,10.06,00:00:10.06,10.06,segundos
S,Donald QUARRIE,JAM,Montreal,1976,M,100M,10.08,00:00:10.08,10.08,segundos
B,Valery BORZOV,URS,Montreal,1976,M,100M,10.14,00:00:10.14,10.14,segundos
G,Jim HINES,USA,Mexico,1968,M,100M,9.9,9.9,,segundos
S,Lennox MILLER,JAM,Mexico,1968,M,100M,10,00:00:10.00,10,segundos
B,Charlie GREENE,USA,Mexico,1968,M,100M,10,00:00:10.00,10,segundos
G,Armin HARY,EUA,Rome,1960,M,100M,10.2,00:00:10.20,10.2,segundos
S,Dave SIME,USA,Rome,1960,M,100M,10.2,00:00:10.20,10.2,segundos
B,Peter RADFORD,GBR,Rome,1960,M,100M,10.3,00:00:10.30,10.3,segundos
G,Lindy REMIGINO,USA,Helsinki,1952,M,100M,10.4,00:00:10.40,10.4,segundos
S,Herbert MCKENLEY,JAM,Helsinki,1952,M,100M,10.4,00:00:10.40,10.4,segundos
B,Emmanuel McDONALD BAILEY,GBR,Helsinki,1952,M,100M,10.4,00:00:10.40,10.4,segundos
G,Jesse OWENS,USA,Berlin,1936,M,100M,10.3,00:00:10.30,10.3,segundos
S,Ralph METCALFE,USA,Berlin,1936,M,100M,10.4,00:00:10.40,10.4,segundos
B,Martinus OSENDARP,NED,Berlin,1936,M,100M,10.5,00:00:10.50,10.5,segundos
G,Percy WILLIAMS,CAN,Amsterdam,1928,M,100M,10.8,00:00:10.80,10.8,segundos
S,Jack LONDON,GBR,Amsterdam,1928,M,100M,10.9,00:00:10.90,10.9,segundos
B,Georg LAMMERS,GER,Amsterdam,1928,M,100M,10.9,00:00:10.90,10.9,segundos
G,Charles PADDOCK,USA,Antwerp,1920,M,100M,10.8,00:00:10.80,10.8,segundos
S,Morris KIRKSEY,USA,Antwerp,1920,M,100M,10.8,00:00:10.80,10.8,segundos
B,Harry EDWARD,GBR,Antwerp,1920,M,100M,10.9,00:00:10.90,10.9,segundos
G,Reggie WALKER,RSA,London,1908,M,100M,10.8,00:00:10.80,10.8,segundos
S,John RECTOR,USA,London,1908,M,100M,,,,segundos
B,Robert KERR,CAN,London,1908,M,100M,,,,segundos
G,Frank JARVIS,USA,Paris,1900,M,100M,11,00:00:11.00,11,segundos
S,Walter TEWKSBURY,USA,Paris,1900,M,100M,11.1,00:00:11.10,11.1,segundos
B,Stanley ROWLEY,AUS,Paris,1900,M,100M,11.2,00:00:11.20,11.2,segundos
G,Usain BOLT,JAM,London,2012,M,100M,9.63,00:00:09.63,9.63,segundos
S,Yohan BLAKE,JAM,London,2012,M,100M,9.75,00:00:09.75,9.75,segundos
B,Justin GATLIN,USA,London,2012,M,100M,9.79,00:00:09.79,9.79,segundos
G,Justin GATLIN,USA,Athens,2004,M,100M,9.85,00:00:09.85,9.85,segundos
S,Francis OBIKWELU,POR,Athens,2004,M,100M,9.86,00:00:09.86,9.86,segundos
B,Maurice GREENE,USA,Athens,2004,M,100M,9.87,00:00:09.87,9.87,segundos
G,Donovan BAILEY,CAN,Atlanta,1996,M,100M,9.84,00:00:09.84,9.84,segundos
S,Frank FREDERICKS,NAM,Atlanta,1996,M,100M,9.89,00:00:09.89,9.89,segundos
B,Ato BOLDON,TTO,Atlanta,1996,M,100M,9.9,9.9,,segundos
G,Allan WELLS,GBR,Moscow,1980,M,100M,10.25,00:00:10.25,10.25,segundos
S,Silvio LEONARD SARRIA,CUB,Moscow,1980,M,100M,10.25,00:00:10.25,10.25,segundos
B,Peter PETROV,BUL,Moscow,1980,M,100M,10.39,00:00:10.39,10.39,segundos
G,Valery BORZOV,URS,Munich,1972,M,100M,10.14,00:00:10.14,10.14,segundos
S,Robert TAYLOR,USA,Munich,1972,M,100M,10.24,00:00:10.24,10.24,segundos
B,Lennox MILLER,JAM,Munich,1972,M,100M,10.33,00:00:10.33,10.33,segundos
G,Bob HAYES,USA,Tokyo,1964,M,100M,10,00:00:10.00,10,segundos
S,Enrique FIGUEROLA,CUB,Tokyo,1964,M,100M,10.2,00:00:10.20,10.2,segundos
B,Harry JEROME,CAN,Tokyo,1964,M,100M,10.2,00:00:10.20,10.2,segundos
G,Bobby MORROW,USA,Melbourne / Stockholm,1956,M,100M,10.5,00:00:10.50,10.5,segundos
S,Thane BAKER,USA,Melbourne / Stockholm,1956,M,100M,10.5,00:00:10.50,10.5,segundos
B,Hector HOGAN,AUS,Melbourne / Stockholm,1956,M,100M,10.6,00:00:10.60,10.6,segundos
G,Harrison DILLARD,USA,London,1948,M,100M,10.3,00:00:10.30,10.3,segundos
S,Barney EWELL,USA,London,1948,M,100M,10.4,00:00:10.40,10.4,segundos
B,Lloyd LABEACH,PAN,London,1948,M,100M,10.6,00:00:10.60,10.6,segundos
G,Eddie TOLAN,USA,Los Angeles,1932,M,100M,10.3,00:00:10.30,10.3,segundos
S,Ralph METCALFE,USA,Los Angeles,1932,M,100M,10.3,00:00:10.30,10.3,segundos
